pkg;class;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM
com.csipsimple.widgets.contactbadge;com.csipsimple.widgets.contactbadge.OverlayedImageView;5;3;1;5;8;8;1;4
com.csipsimple.widgets;com.csipsimple.widgets.SeekBarPreference;12;3;1;11;51;12;1;4
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.ReachPhones;8;3;1;6;22;26;1;5
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.TelAccess;7;3;1;5;17;21;1;5
com.csipsimple.ui.calllog;com.csipsimple.ui.calllog.CallLogDetailsFragment$OnQuitListener;3;1;1;0;4;3;0;2
com.csipsimple.wizards.utils;com.csipsimple.wizards.utils.AccountCreationWebview$JSInterface;4;1;1;1;5;6;1;4
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.DeltaTelecom;7;3;1;3;8;21;1;5
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.Optimus;9;3;1;3;10;36;1;7
com.csipsimple.service;com.csipsimple.service.SipService$SyncStopRunnable;2;3;1;3;3;1;1;0
com.csipsimple.ui.filters;com.csipsimple.ui.filters.AccountFilters;3;1;1;3;4;3;1;2
com.csipsimple.widgets;com.csipsimple.widgets.DialerCallBar;8;4;1;7;9;28;1;8
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.Speakezi;7;3;1;3;12;21;1;5
com.csipsimple.ui.incall.locker.multiwaveview;com.csipsimple.ui.incall.locker.multiwaveview.PointCloud;10;1;1;9;49;25;1;7
com.csipsimple.utils;com.csipsimple.utils.NightlyUpdater$UpdaterPopupLauncher;2;1;1;2;3;1;1;2
com.csipsimple.utils;com.csipsimple.utils.PreferencesProviderWrapper;63;1;1;18;119;1807;1;55
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.Tanstagi;18;3;1;8;19;153;1;12
com.csipsimple.ui.incall;com.csipsimple.ui.incall.InCallInfoGrid;8;4;1;17;50;8;1;6
com.csipsimple.ui.prefs;com.csipsimple.ui.prefs.PrefsFast$Profile;1;2;1;0;2;0;0;0
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.Betamax;11;3;1;7;12;55;1;8
com.csipsimple.utils;com.csipsimple.utils.ContactsAsyncHelper$OnImageLoadCompleteListener;2;1;1;1;3;1;1;1
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.FreelyCall;7;3;1;3;8;21;1;5
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.SiptelPt;3;3;1;1;4;3;1;1
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.LolaWireless;6;3;1;3;7;15;1;4
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.BgOpen;5;3;1;2;8;10;1;3
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.Ocn;9;3;1;6;28;30;1;7
com.csipsimple.wizards.utils;com.csipsimple.wizards.utils.AccountCreationWebviewHelper3;3;2;1;2;4;3;1;3
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.Voocall;6;3;1;4;11;15;1;4
com.csipsimple.ui.filters;com.csipsimple.ui.filters.AccountFiltersListAdapter;2;1;1;3;3;1;1;2
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.FringTalkTw;6;3;1;3;7;15;1;4
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.TOnline;9;3;1;8;36;30;1;7
com.csipsimple.api;com.csipsimple.api.SipUri$ParsedSipContactInfos;6;1;1;3;19;1;1;6
com.csipsimple.utils.audio;com.csipsimple.utils.audio.AudioFocus8$1;2;1;1;3;4;1;1;1
com.csipsimple.utils;com.csipsimple.utils.ContactsAsyncHelper$WorkerArgs;1;1;1;4;2;0;1;0
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.TPoint;5;3;1;2;8;10;1;3
com.csipsimple.ui.calllog;com.csipsimple.ui.calllog.CallLogDetailsActivity;6;1;1;3;7;15;1;4
com.csipsimple.ui.warnings;com.csipsimple.ui.warnings.WarningPrivilegedIntent;7;5;1;4;8;21;1;4
com.csipsimple.utils;com.csipsimple.utils.Ringer$VibratorThread;3;2;1;3;8;1;1;1
com.csipsimple.ui.calllog;com.csipsimple.ui.calllog.CallLogAdapter$OnCallLogAction;3;1;1;0;4;3;0;2
com.csipsimple.wizards.utils;com.csipsimple.wizards.utils.AccountCreationWebviewHelper8;4;2;1;4;9;0;1;3
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.MobileWiFi;12;3;1;6;13;66;1;7
com.csipsimple.ui.incall;com.csipsimple.ui.incall.InCallActivity$QuitTimerTask;2;2;1;1;3;1;1;1
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.MultifonRu;9;3;1;3;10;36;1;6
com.csipsimple.utils.keyguard;com.csipsimple.utils.keyguard.KeyguardWrapper;5;1;1;4;9;10;1;5
com.csipsimple.ui.calllog;com.csipsimple.ui.calllog.PhoneCallDetailsViews;3;1;1;4;4;3;1;2
com.csipsimple.ui.incall.locker;com.csipsimple.ui.incall.locker.InCallAnswerControls;11;4;1;20;45;37;1;8
com.csipsimple.ui.messages;com.csipsimple.ui.messages.ConversationsListFragment;17;2;1;16;18;136;1;14
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.SipCentric;6;3;1;5;13;15;1;4
com.csipsimple.api;com.csipsimple.api.SipCallSession;35;1;1;4;46;299;1;31
com.csipsimple.ui.outgoingcall;com.csipsimple.ui.outgoingcall.OutgoingCallChooser;14;1;1;5;15;91;1;9
com.csipsimple.ui.account;com.csipsimple.ui.account.AccountEdit;1;3;1;1;2;0;1;1
com.csipsimple.ui.account;com.csipsimple.ui.account.AccountsEditList;3;1;1;2;4;3;1;2
com.csipsimple.utils;com.csipsimple.utils.ContactsAsyncHelper$PhotoViewTag;1;1;1;1;2;0;1;0
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.Viva;6;3;1;2;9;15;1;3
com.csipsimple.utils;com.csipsimple.utils.PreferencesWrapper$3;1;3;1;0;4;0;0;0
com.csipsimple.utils;com.csipsimple.utils.PreferencesWrapper$2;1;3;1;0;4;0;0;0
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.Eutelia;3;3;1;1;4;3;1;1
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.Fusion;7;3;1;5;15;21;1;5
com.csipsimple.utils;com.csipsimple.utils.PreferencesWrapper$1;1;3;1;1;5;0;1;0
com.csipsimple;com.csipsimple.BuildConfig;1;1;1;0;2;0;0;1
com.csipsimple.ui.incall.locker.multiwaveview;com.csipsimple.ui.incall.locker.multiwaveview.GlowPadView;80;2;1;18;81;3160;1;26
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.Freespeech;8;3;1;3;9;28;1;6
com.csipsimple.pjsip.player.impl;com.csipsimple.pjsip.player.impl.SimpleWavPlayerHandler;3;1;1;3;4;3;1;3
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.ItalkWorld;5;3;1;2;8;10;1;3
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.TravelTele;6;3;1;2;7;15;1;4
com.csipsimple.ui.account;com.csipsimple.ui.account.AccountsLoader$FilteredProfile;6;1;1;3;7;15;1;6
com.csipsimple.ui.warnings;com.csipsimple.ui.warnings.WarningUtils;7;1;1;3;8;21;1;7
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.Cellip;8;3;1;3;9;28;1;6
com.csipsimple.ui.calllog;com.csipsimple.ui.calllog.CallLogListFragment$CallLogActionMode;5;1;1;4;6;10;1;4
com.csipsimple.wizards;com.csipsimple.wizards.WizardChooser$WizardsListAdapter;3;3;1;5;4;3;1;2
com.csipsimple.utils;com.csipsimple.utils.RewriterPlugin;5;1;1;11;28;4;1;4
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.Pfingo;5;3;1;2;9;10;1;3
com.csipsimple.service;com.csipsimple.service.SipService$AccountStatusContentObserver;2;2;1;3;3;1;1;2
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.Vostron;5;3;1;4;10;10;1;3
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.YesCall;3;3;1;1;4;3;1;1
com.csipsimple.ui.messages;com.csipsimple.ui.messages.MessageAdapter;5;1;1;8;6;10;1;3
com.csipsimple.ui;com.csipsimple.ui.SipHome$TabsAdapter;13;1;1;8;14;78;1;12
com.csipsimple.ui.account;com.csipsimple.ui.account.AccountsLoader;12;1;1;5;13;66;1;6
com.csipsimple.ui.incall.locker.multiwaveview;com.csipsimple.ui.incall.locker.multiwaveview.Ease$Quint;2;1;1;4;6;1;1;0
com.csipsimple.ui.incall;com.csipsimple.ui.incall.InCallActivity$ShowZRTPInfoRunnable;3;1;1;4;4;3;1;3
com.csipsimple.widgets;com.csipsimple.widgets.DontPressWithParentLayout;2;4;1;5;6;1;1;2
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.Necc;6;3;1;5;13;15;1;4
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.DirectDial;3;3;1;1;4;3;1;1
com.csipsimple.widgets;com.csipsimple.widgets.RegistrationNotification;7;2;1;3;8;21;1;7
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.Betamax$AccountBalance;5;3;1;4;6;10;1;4
com.csipsimple.wizards.impl;com.csipsimple.wizards.impl.MTel;8;3;1;3;9;28;1;6
