pkg;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM
com.csipsimple.utils.bluetooth;5.5;2.0;6.0;4.5;12.5;9.0;1.0;5.0
com.csipsimple.api;5.0;1.0;25.0;3.0;13.0;9.0;1.0;4.0
com.csipsimple.utils.keyguard;4.0;2.0;3.0;4.0;9.0;6.0;1.0;4.0
com.csipsimple.pjsip.sipclf;4.0;1.0;1.0;3.0;5.0;6.0;1.0;4.0
com.csipsimple.service.impl;22.0;2.0;1.0;1.0;23.0;211.0;1.0;22.0
com.csipsimple.ui.incall.locker.multiwaveview;2.0;1.0;34.0;1.0;4.0;1.0;1.0;1.0
com.csipsimple.pjsip.earlylock;2.0;1.0;3.0;2.0;3.0;1.0;1.0;1.0
com.csipsimple.ui;8.5;1.0;4.0;7.0;9.5;42.0;1.0;4.0
com.csipsimple.pjsip;4.0;1.0;9.0;4.0;6.0;6.0;1.0;4.0
com.csipsimple.ui.prefs.cupcake;4.5;1.5;4.0;4.0;5.5;11.0;1.0;2.0
com.csipsimple.utils.backup;2.0;2.0;3.0;3.0;5.0;1.0;1.0;2.0
com.csipsimple.ui.incall;2.0;1.0;27.0;2.0;4.0;1.0;1.0;2.0
com.csipsimple.ui.warnings;7.0;4.5;8.0;4.0;8.0;21.0;1.0;4.0
com.csipsimple.ui.incall.locker.slidingtab;17.5;2.0;2.0;7.0;18.5;165.5;1.0;10.0
com.csipsimple.wizards;3.0;1.0;7.0;4.0;4.0;3.0;1.0;2.0
com.csipsimple.db;6.0;2.0;3.0;6.0;14.0;3.0;1.0;4.0
com.csipsimple.ui.account;2.5;1.0;16.0;3.0;3.5;2.0;1.0;2.0
com.csipsimple.models;2.5;1.0;4.0;2.5;3.5;2.0;1.0;2.0
com.csipsimple.pjsip.player;2.0;1.0;1.0;1.0;2.0;1.0;1.0;2.0
com.csipsimple.plugins.codecs;2.0;2.0;1.0;3.0;3.0;1.0;1.0;2.0
com.csipsimple.ui.prefs.hc;9.0;2.0;2.0;4.5;10.0;36.5;1.0;6.0
com.csipsimple.wizards.utils;4.0;1.0;10.0;3.0;5.0;4.5;1.0;3.5
com.csipsimple.service;2.0;2.0;33.0;3.0;5.0;1.0;1.0;2.0
com.csipsimple.ui.filters;7.0;1.5;4.0;7.0;8.0;29.0;1.0;4.0
com.csipsimple.utils.audio;5.0;2.0;5.0;6.0;11.0;1.0;1.0;5.0
com.csipsimple.pjsip.recorder;3.0;1.0;1.0;1.0;3.0;3.0;1.0;3.0
com.csipsimple.ui.incall.locker.buttons;10.0;4.0;1.0;8.0;11.0;45.0;1.0;10.0
com.csipsimple.utils.contacts;8.0;1.0;8.0;9.0;17.0;29.0;1.0;7.5
com.csipsimple.ui.help;3.5;1.0;6.0;5.0;4.5;4.5;1.0;3.0
com.csipsimple.ui.incall.locker;3.0;2.0;8.0;2.5;7.0;2.5;1.0;2.0
com.csipsimple.ui.messages;4.5;1.0;8.0;4.5;5.5;8.0;1.0;3.0
com.csipsimple.ui.calllog;3.0;1.0;23.0;3.0;5.0;3.0;1.0;2.0
com.csipsimple.pjsip.recorder.impl;6.0;1.0;1.0;4.0;7.0;15.0;1.0;4.0
com.csipsimple.ui.outgoingcall;7.0;1.0;5.0;5.0;8.0;21.0;1.0;5.0
com.csipsimple;1.0;1.0;1.0;0.0;2.0;0.0;0.0;1.0
com.csipsimple.plugins.telephony;2.0;2.0;1.0;4.0;3.0;1.0;1.0;2.0
com.csipsimple.widgets;6.0;2.0;31.0;4.0;7.0;12.0;1.0;4.0
com.csipsimple.utils.clipboard;3.0;2.0;3.0;4.0;7.0;1.0;1.0;2.0
com.csipsimple.utils.accessibility;3.0;2.0;3.0;3.0;6.0;3.0;1.0;3.0
com.csipsimple.ui.prefs;6.0;1.0;12.0;4.0;6.5;15.0;1.0;3.0
com.csipsimple.wizards.impl;6.0;3.0;240.0;3.0;9.0;15.0;1.0;4.0
com.csipsimple.utils;4.0;1.0;51.0;3.0;11.0;1.0;1.0;3.0
com.csipsimple.widgets.contactbadge;4.0;2.0;7.0;6.0;7.0;4.0;1.0;3.0
com.csipsimple.pjsip.player.impl;3.0;1.0;1.0;3.0;4.0;3.0;1.0;3.0
com.csipsimple.service.receiver;2.0;2.0;5.0;5.0;5.0;0.0;1.0;1.0
com.csipsimple.ui.favorites;5.5;1.5;8.0;4.0;6.5;13.5;1.0;3.5
com.csipsimple.backup;6.5;1.0;6.0;8.5;44.0;8.0;1.0;3.5
com.csipsimple.utils.video;2.0;1.0;5.0;2.0;7.0;1.0;1.0;2.0
com.csipsimple.ui.dialpad;7.0;1.0;6.0;4.5;8.0;21.0;1.0;5.5
com.csipsimple.pjsip.reghandler;4.0;1.0;2.0;4.0;5.0;6.0;1.0;4.0
