pkg;class;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM
com.googlecode.android.wifi.tether;com.googlecode.android.wifi.tether.R$id;1;1;1;0;2;0;0;1
com.googlecode.android.wifi.tether.system;com.googlecode.android.wifi.tether.system.CoreTask$HostapdConfig;3;3;1;1;22;0;1;3
com.googlecode.android.wifi.tether;com.googlecode.android.wifi.tether.R$style;1;1;1;0;2;0;0;1
com.googlecode.android.wifi.tether;com.googlecode.android.wifi.tether.TetherService$ShutdownTimerChecker;3;1;1;6;23;0;1;1
com.googlecode.android.wifi.tether;com.googlecode.android.wifi.tether.R$string;1;1;1;0;2;0;0;1
com.googlecode.android.wifi.tether.system;com.googlecode.android.wifi.tether.system.CoreTask$WpaSupplicant;5;1;1;1;28;4;1;5
com.googlecode.android.wifi.tether;com.googlecode.android.wifi.tether.TetherWidget;8;3;1;10;38;20;1;4
com.googlecode.android.wifi.tether;com.googlecode.android.wifi.tether.TetherService$ShutdownIdleChecker;3;1;1;6;23;0;1;1
com.googlecode.android.wifi.tether.system;com.googlecode.android.wifi.tether.system.CoreTask$1;2;1;1;1;4;1;1;1
com.googlecode.android.wifi.tether;com.googlecode.android.wifi.tether.R$attr;1;1;1;0;2;0;0;1
com.googlecode.android.wifi.tether;com.googlecode.android.wifi.tether.BuildConfig;1;1;1;0;2;0;0;1
com.googlecode.android.wifi.tether;com.googlecode.android.wifi.tether.AccessControlActivity;21;6;1;25;84;146;1;5
com.googlecode.android.wifi.tether.system;com.googlecode.android.wifi.tether.system.Configuration;55;1;1;3;73;309;1;35
com.googlecode.android.wifi.tether;com.googlecode.android.wifi.tether.R$drawable;1;1;1;0;2;0;0;1
com.googlecode.android.wifi.tether;com.googlecode.android.wifi.tether.TetherApplication$1;2;2;1;4;4;0;1;1
com.googlecode.android.wifi.tether;com.googlecode.android.wifi.tether.TetherApplication$2;2;2;1;3;4;0;1;1
com.googlecode.android.wifi.tether;com.googlecode.android.wifi.tether.TetherWidget$TetherStateTracker;6;2;1;6;12;15;1;2
com.googlecode.android.wifi.tether.system;com.googlecode.android.wifi.tether.system.CoreTask$Whitelist;6;1;1;1;25;11;1;6
com.googlecode.android.wifi.tether;com.googlecode.android.wifi.tether.TetherApplication$5;2;1;1;7;14;0;1;1
com.googlecode.android.wifi.tether;com.googlecode.android.wifi.tether.TetherApplication$3;2;2;1;3;5;0;1;1
com.googlecode.android.wifi.tether;com.googlecode.android.wifi.tether.TetherApplication$4;2;1;1;5;17;0;1;1
com.googlecode.android.wifi.tether;com.googlecode.android.wifi.tether.MainActivity$11;2;1;1;5;7;0;1;1
com.googlecode.android.wifi.tether;com.googlecode.android.wifi.tether.MainActivity$10;2;1;1;4;5;0;1;1
com.googlecode.android.wifi.tether.system;com.googlecode.android.wifi.tether.system.CoreTask;23;1;1;6;82;245;1;23
com.googlecode.android.wifi.tether.data;com.googlecode.android.wifi.tether.data.ClientAdapter;10;2;1;15;43;0;1;10
com.googlecode.android.wifi.tether;com.googlecode.android.wifi.tether.SetupActivity$4;2;2;1;3;5;0;1;1
