pkg;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM
com.fsck.k9.activity.loader;4.0;3.0;2.0;9.0;26.0;0.0;1.0;3.0
com.fsck.k9.net.ssl;6.0;1.0;5.0;4.0;27.0;11.0;1.0;3.0
com.fsck.k9.helper.power;5.0;1.0;3.0;5.0;13.0;0.0;1.0;2.0
com.fsck.k9.cache;11.5;1.5;2.0;3.0;27.0;49.5;1.0;10.5
com.fsck.k9.view;4.5;1.0;40.0;5.0;11.0;1.0;1.0;1.0
com.fsck.k9.service;2.0;2.0;23.0;8.0;19.0;1.0;1.0;2.0
com.fsck.k9.crypto;11.0;1.0;8.0;3.0;14.5;72.5;1.0;10.5
com.fsck.k9.provider;3.0;1.0;46.0;3.0;6.0;2.0;1.0;3.0
com.fsck.k9.security;7.0;1.0;2.0;2.0;23.5;22.5;1.0;3.0
com.fsck.k9.search;5.0;1.0;12.0;3.0;7.0;10.0;1.0;4.0
com.fsck.k9.mail.transport;6.0;2.0;3.0;11.0;14.0;9.0;1.0;6.0
com.fsck.k9.preferences;3.0;1.0;52.0;2.0;8.5;1.0;1.0;2.0
com.fsck.k9.helper;3.0;1.0;20.0;4.5;9.0;1.5;1.0;2.0
com.fsck.k9.mail.store.imap;5.0;1.0;1.0;1.0;20.0;10.0;1.0;3.0
com.fsck.k9;1.0;1.0;50.0;0.0;2.5;0.0;0.0;1.0
com.fsck.k9.activity;4.0;2.0;88.0;4.0;7.0;3.0;1.0;2.0
com.fsck.k9.mail.store;3.0;1.0;125.0;6.0;11.0;1.0;1.0;2.0
com.fsck.k9.mail.internet;4.0;2.0;24.0;3.0;11.0;3.5;1.0;3.0
com.fsck.k9.activity.misc;4.0;1.5;10.0;4.5;6.0;5.0;1.0;2.0
com.fsck.k9.mail.filter;4.0;3.0;11.0;0.0;6.0;0.0;0.0;3.0
com.fsck.k9.controller;3.0;1.0;13.0;2.0;3.0;1.0;1.0;2.0
com.fsck.k9.remotecontrol;2.0;1.0;3.0;7.0;9.0;0.0;1.0;1.0
com.fsck.k9.mail;5.0;1.0;27.0;2.0;8.0;4.0;1.0;5.0
com.fsck.k9.activity.setup;3.0;1.0;50.0;4.0;9.0;1.0;1.0;1.5
com.fsck.k9.mail.transport.imap;14.0;1.0;1.0;2.0;14.0;91.0;1.0;14.0
com.fsck.k9.fragment;2.0;1.0;27.0;1.0;3.0;1.0;1.0;2.0
