pkg;class;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM
com.fsck.k9.preferences;com.fsck.k9.preferences.Settings$SettingsUpgrader;1;1;1;0;1;0;0;1
com.fsck.k9.fragment;com.fsck.k9.fragment.ProgressDialogFragment;4;3;1;8;17;6;1;4
com.fsck.k9.activity;com.fsck.k9.activity.Accounts$ImportAsyncTask;4;3;1;4;5;6;1;0
com.fsck.k9;com.fsck.k9.R$color;1;1;1;0;2;0;0;1
com.fsck.k9.net.ssl;com.fsck.k9.net.ssl.KeyChainKeyManager;13;2;1;7;39;66;1;9
com.fsck.k9;com.fsck.k9.R$layout;1;1;1;0;2;0;0;1
com.fsck.k9.activity;com.fsck.k9.activity.FolderList$FolderClickListener;2;1;1;4;3;1;1;1
com.fsck.k9.mail.store;com.fsck.k9.mail.store.ImapResponseParser$ImapList;16;4;1;2;32;120;1;14
com.fsck.k9.provider;com.fsck.k9.provider.MessageProvider$HasStarExtractor;3;1;1;4;6;3;1;3
com.fsck.k9.mail.internet;com.fsck.k9.mail.internet.MimeBodyPart;19;2;1;9;49;109;1;18
com.fsck.k9.crypto;com.fsck.k9.crypto.Apg$Intent;1;1;1;0;2;0;0;1
com.fsck.k9.preferences;com.fsck.k9.preferences.Settings$EnumSetting;2;2;1;2;5;0;1;2
com.fsck.k9.search;com.fsck.k9.search.SqlQueryBuilder;12;1;1;11;39;66;1;3
com.fsck.k9.fragment;com.fsck.k9.fragment.MessageListFragment$SenderComparator;2;1;1;1;3;1;1;2
com.fsck.k9;com.fsck.k9.K9$NotificationHideSubject;4;2;1;0;7;4;0;2
com.fsck.k9.cache;com.fsck.k9.cache.EmailProviderCacheCursor;11;2;1;4;41;33;1;11
com.fsck.k9.activity.setup;com.fsck.k9.activity.setup.SliderPreference;16;3;1;12;53;74;1;8
com.fsck.k9.view;com.fsck.k9.view.ViewSwitcher;18;5;1;7;27;127;1;16
com.fsck.k9.provider;com.fsck.k9.provider.MessageProvider$FieldExtractor;1;1;1;0;1;0;0;1
com.fsck.k9.activity;com.fsck.k9.activity.ChooseFolder$1;6;2;1;15;40;0;1;4
com.fsck.k9.fragment;com.fsck.k9.fragment.MessageListFragment;147;2;1;44;148;10731;1;70
com.fsck.k9.activity;com.fsck.k9.activity.ChooseFolder$3;2;1;1;9;13;0;1;1
com.fsck.k9;com.fsck.k9.Account$FolderMode;1;2;1;0;2;0;0;0
com.fsck.k9.activity;com.fsck.k9.activity.ChooseFolder$2;2;3;1;5;4;0;1;1
com.fsck.k9.mail.store;com.fsck.k9.mail.store.StorageManager$ExternalStorageProvider;9;1;1;3;20;28;1;9
com.fsck.k9.mail.store;com.fsck.k9.mail.store.Pop3Store$Pop3Message;5;3;1;6;9;6;1;4
com.fsck.k9.mail.store;com.fsck.k9.mail.store.ImapStore$ImapFolder$5;3;1;1;6;14;1;1;1
com.fsck.k9.preferences;com.fsck.k9.preferences.GlobalSettings$ThemeSetting;6;2;1;3;15;15;1;5
com.fsck.k9.search;com.fsck.k9.search.LocalSearch$1;5;1;1;3;5;10;1;4
com.fsck.k9.mail.internet;com.fsck.k9.mail.internet.BinaryTempFileBody;7;1;1;7;22;3;1;6
com.fsck.k9.mail.store;com.fsck.k9.mail.store.LocalStore$LocalAttachmentBodyPart;4;3;1;3;8;0;1;4
com.fsck.k9.mail.store;com.fsck.k9.mail.store.ImapStore$ImapFolder$1;2;1;1;3;4;0;1;1
com.fsck.k9.activity;com.fsck.k9.activity.ActivityListener$1;2;2;1;4;4;0;1;1
com.fsck.k9.fragment;com.fsck.k9.fragment.MessageListFragment$MessageViewHolder;2;1;1;6;3;1;1;1
com.fsck.k9.mail.store;com.fsck.k9.mail.store.ImapStore$ImapFolder$2;2;1;1;3;6;0;1;1
com.fsck.k9.mail.store;com.fsck.k9.mail.store.ImapStore$ImapFolder$3;2;1;1;4;7;0;1;1
com.fsck.k9;com.fsck.k9.Account$SortType;3;2;1;0;4;3;0;2
com.fsck.k9.mail.store;com.fsck.k9.mail.store.ImapStore$ImapFolder$4;2;1;1;4;7;0;1;1
com.fsck.k9.preferences;com.fsck.k9.preferences.Settings$StringSetting;2;2;1;1;3;1;1;2
com.fsck.k9.mail.internet;com.fsck.k9.mail.internet.Iso2022JpToShiftJisInputStream$Charset;4;2;1;0;7;4;0;2
com.fsck.k9;com.fsck.k9.R$xml;1;1;1;0;2;0;0;1
com.fsck.k9.service;com.fsck.k9.service.CoreService;16;4;1;10;50;54;1;8
com.fsck.k9;com.fsck.k9.Clock;3;1;1;0;5;3;0;1
com.fsck.k9.mail.transport.imap;com.fsck.k9.mail.transport.imap.ImapSettings;14;1;1;2;14;91;1;14
com.fsck.k9.fragment;com.fsck.k9.fragment.MessageListFragment$ComparatorChain;2;1;1;0;3;1;0;2
com.fsck.k9.activity;com.fsck.k9.activity.K9ActivityCommon;6;1;1;14;29;7;1;5
com.fsck.k9.preferences;com.fsck.k9.preferences.SettingsImporter$ImportedIdentity;2;1;1;1;3;1;1;0
com.fsck.k9.mail.internet;com.fsck.k9.mail.internet.MimeMessage;48;2;1;22;117;858;1;43
com.fsck.k9.search;com.fsck.k9.search.SearchSpecification$Searchfield;4;2;1;0;7;4;0;2
com.fsck.k9;com.fsck.k9.PRNGFixes$LinuxPRNGSecureRandom;6;2;1;0;17;9;0;1
com.fsck.k9.activity;com.fsck.k9.activity.ConfirmationDialog$2;2;1;1;3;5;0;1;1
com.fsck.k9.helper;com.fsck.k9.helper.FileBrowserHelper$1;2;1;1;6;6;0;1;1
com.fsck.k9.mail;com.fsck.k9.mail.Message$RecipientType;4;2;1;0;7;4;0;2
com.fsck.k9.activity;com.fsck.k9.activity.ConfirmationDialog$1;2;1;1;3;5;0;1;1
com.fsck.k9.crypto;com.fsck.k9.crypto.CryptoProvider$CryptoDecryptCallback;1;1;1;1;1;0;1;1
com.fsck.k9.helper;com.fsck.k9.helper.FileBrowserHelper$2;2;1;1;4;4;0;1;1
com.fsck.k9.activity;com.fsck.k9.activity.NotificationDeleteConfirmation$1;2;1;1;1;5;0;1;1
com.fsck.k9.activity;com.fsck.k9.activity.NotificationDeleteConfirmation$2;2;1;1;1;4;0;1;1
com.fsck.k9.service;com.fsck.k9.service.BootReceiver$1;2;2;1;1;3;1;1;1
com.fsck.k9.fragment;com.fsck.k9.fragment.MessageViewFragment$MessageViewFragmentListener;10;1;1;3;11;45;1;9
com.fsck.k9.activity;com.fsck.k9.activity.MessageCompose$CaseInsensitiveParamWrapper;2;1;1;1;3;1;1;2
com.fsck.k9.view;com.fsck.k9.view.SingleMessageView$SavedState;5;3;1;5;11;8;1;1
com.fsck.k9.fragment;com.fsck.k9.fragment.MessageViewFragment$Listener;9;2;1;5;10;36;1;8
com.fsck.k9.crypto;com.fsck.k9.crypto.CryptoHelper;4;1;1;4;10;2;1;3
com.fsck.k9.activity;com.fsck.k9.activity.K9PreferenceActivity;4;7;1;9;18;6;1;2
com.fsck.k9.activity.setup;com.fsck.k9.activity.setup.AccountSetupBasics$Provider;1;1;1;0;2;0;0;0
com.fsck.k9.mail.store;com.fsck.k9.mail.store.ImapResponseParser$ImapResponse;5;5;1;3;16;8;1;3
com.fsck.k9.mail.store;com.fsck.k9.mail.store.ImapStore$ImapFolder;53;2;1;39;210;860;1;32
com.fsck.k9.activity;com.fsck.k9.activity.Accounts$AccountsImportedDialog;3;2;1;3;4;3;1;0
com.fsck.k9.activity.misc;com.fsck.k9.activity.misc.SwipeGestureDetector;3;2;1;6;14;0;1;3
com.fsck.k9.mail;com.fsck.k9.mail.CompositeBody;1;1;1;2;1;0;1;1
com.fsck.k9.helper;com.fsck.k9.helper.FileBrowserHelper;6;1;1;15;34;9;1;3
com.fsck.k9.activity;com.fsck.k9.activity.UpgradeDatabases$UpgradeDatabaseBroadcastReceiver;2;2;1;4;3;1;1;1
com.fsck.k9.mail.store;com.fsck.k9.mail.store.WebDavStore$WebDavHandler;7;2;1;2;17;0;1;7
com.fsck.k9.preferences;com.fsck.k9.preferences.Settings$ColorSetting;4;2;1;2;13;6;1;4
com.fsck.k9.mail.store;com.fsck.k9.mail.store.ImapStore$ImapPushState;3;1;1;1;14;1;1;1
com.fsck.k9.security;com.fsck.k9.security.LocalKeyStore$LocalKeyStoreHolder;2;1;1;1;4;1;1;0
com.fsck.k9.activity;com.fsck.k9.activity.UpgradeDatabases;9;6;1;9;10;36;1;5
com.fsck.k9.preferences;com.fsck.k9.preferences.Editor;17;1;1;6;47;62;1;12
com.fsck.k9;com.fsck.k9.R$id;1;1;1;0;2;0;0;1
com.fsck.k9.preferences;com.fsck.k9.preferences.GlobalSettings$SubThemeSetting;4;3;1;3;14;6;1;4
com.fsck.k9.mail;com.fsck.k9.mail.Message;51;1;1;14;74;1207;1;49
com.fsck.k9.mail.store;com.fsck.k9.mail.store.Pop3Store$Pop3Folder;44;2;1;27;160;754;1;26
