pkg;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM
com.google.android.apps.mytracks.settings;2.0;1.0;42.0;6.0;7.5;0.0;1.0;1.0
com.google.android.apps.mytracks.io.backup;7.0;1.0;3.0;5.0;28.0;15.0;1.0;3.0
com.google.android.apps.mytracks.services.sensors.ant;5.0;2.0;13.0;2.0;9.0;4.0;1.0;3.0
com.google.android.apps.mytracks.services.sensors;4.0;1.0;16.0;5.0;16.0;3.0;1.0;3.5
com.google.android.apps.mytracks.io.sendtogoogle;5.0;1.0;11.0;5.0;6.0;5.0;1.0;2.0
com.google.android.apps.mytracks.stats;10.0;1.0;2.0;3.5;34.5;0.0;0.5;7.0
com.google.android.apps.mytracks;2.0;1.0;81.0;7.0;11.0;0.0;1.0;1.0
com.google.android.apps.mytracks.io.fusiontables;8.0;3.0;3.0;9.0;32.0;26.0;1.0;1.0
com.google.android.apps.mytracks.io.drive;5.5;4.5;2.0;17.5;34.5;5.5;1.0;1.0
com.google.android.apps.mytracks.io.file;2.0;3.0;6.0;4.0;4.0;1.0;1.0;1.0
com.google.android.apps.mytracks.widgets;5.5;2.0;4.0;10.5;24.0;13.0;1.0;1.0
com.google.android.apps.mytracks.io.spreadsheets;5.0;3.0;3.0;9.0;14.0;4.0;1.0;1.0
com.google.android.apps.mytracks.io.file.importer;4.5;1.0;12.0;6.5;21.5;0.5;1.0;1.5
com.google.android.apps.mytracks.io.gdata;3.0;1.0;7.0;4.0;8.0;0.0;1.0;2.0
com.google.android.apps.mytracks.content;3.0;1.0;30.0;3.0;8.0;0.0;1.0;2.0
com.google.android.apps.mytracks.io.file.exporter;5.0;1.0;19.0;6.0;11.0;1.0;1.0;2.0
com.google.android.apps.mytracks.util;4.0;1.0;44.0;7.0;15.0;4.0;1.0;2.0
com.google.android.apps.mytracks.io.sync;16.0;2.0;3.0;38.0;117.0;0.0;1.0;3.0
com.google.android.apps.mytracks.fragments;2.0;1.0;96.0;6.0;8.0;0.0;1.0;1.0
com.google.android.apps.mytracks.io.maps;8.0;3.0;3.0;12.0;40.0;8.0;1.0;2.0
com.google.android.apps.mytracks.io.gdata.maps;6.5;1.0;10.0;2.5;17.5;10.0;1.0;5.5
com.google.android.apps.mytracks.services;2.0;1.0;25.0;5.0;8.0;0.0;1.0;1.0
com.google.android.apps.mytracks.maps;2.5;1.0;10.0;5.5;12.5;1.0;1.0;2.5
com.google.android.apps.mytracks.services.tasks;2.0;1.0;15.0;4.0;6.0;0.0;1.0;2.0
com.google.android.apps.mytracks.lib;1.0;1.0;3.0;0.0;2.0;0.0;0.0;1.0
