pkg;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM
net.osmand;4.0;1.0;30.0;1.0;7.0;3.0;1.0;2.0
net.osmand.access;3.0;1.0;24.0;5.0;13.5;0.0;1.0;3.0
net.osmand.binary;49.0;4.0;160.0;15.0;72.0;610.0;1.0;36.0
net.osmand.data;9.5;1.0;22.0;1.5;17.5;12.0;1.0;9.0
net.osmand.map;4.0;1.0;17.0;2.0;8.0;4.0;1.0;3.0
net.osmand.osm;27.0;1.0;3.0;2.0;28.0;351.0;1.0;16.0
net.osmand.osm.edit;8.0;1.5;14.0;2.5;14.0;2.5;1.0;8.0
net.osmand.osm.io;3.0;1.0;5.0;1.0;4.0;3.0;1.0;3.0
net.osmand.plus;3.0;1.0;113.0;4.0;9.0;1.0;1.0;2.0
net.osmand.plus.access;5.0;2.0;2.0;1.0;9.0;6.0;1.0;3.0
net.osmand.plus.activities;2.0;1.0;231.0;6.0;8.0;0.0;1.0;1.0
net.osmand.plus.activities.actions;2.0;1.0;20.0;9.0;12.0;0.0;1.0;1.0
net.osmand.plus.activities.search;2.0;1.0;100.0;5.0;8.0;0.0;1.0;1.0
net.osmand.plus.api;8.0;1.0;21.0;3.0;8.0;6.0;1.0;7.0
net.osmand.plus.api.render;4.0;1.0;9.0;0.0;6.0;4.0;0.0;2.0
net.osmand.plus.audionotes;2.0;2.0;9.0;5.0;8.0;1.0;1.0;2.0
net.osmand.plus.base;2.5;1.0;10.0;4.5;9.0;0.0;1.0;1.5
net.osmand.plus.development;2.0;1.0;11.0;6.0;10.0;0.0;1.0;1.0
net.osmand.plus.distancecalculator;2.5;1.0;10.0;6.0;15.0;0.5;1.0;1.0
net.osmand.plus.download;4.5;1.0;18.0;3.0;10.0;6.5;1.0;4.0
net.osmand.plus.dropbox;13.0;2.0;1.0;7.0;14.0;78.0;1.0;10.0
net.osmand.plus.monitoring;2.0;1.0;19.0;9.0;11.0;0.0;1.0;1.0
net.osmand.plus.osmedit;3.0;1.0;60.0;6.0;9.5;0.0;1.0;1.0
net.osmand.plus.osmodroid;2.0;1.0;6.0;6.0;5.5;0.0;1.0;1.5
net.osmand.plus.parkingpoint;2.0;1.0;13.0;6.0;9.0;0.0;1.0;1.0
net.osmand.plus.rastermaps;3.0;1.0;14.0;9.5;12.0;0.5;1.0;1.0
net.osmand.plus.render;3.0;1.0;17.0;6.0;9.0;3.0;1.0;2.0
net.osmand.plus.resources;9.0;1.0;17.0;3.0;10.0;36.0;1.0;9.0
net.osmand.plus.routing;5.5;1.0;16.0;2.5;7.5;12.5;1.0;3.0
net.osmand.plus.srtmplugin;3.0;2.0;3.0;7.0;9.0;3.0;1.0;1.0
net.osmand.plus.views;3.5;1.0;70.0;5.5;8.5;1.0;1.0;2.5
net.osmand.plus.views.mapwidgets;2.0;1.0;52.0;9.0;12.0;0.0;1.0;1.0
net.osmand.plus.voice;9.0;1.0;8.0;5.5;11.0;36.5;1.0;6.0
net.osmand.render;12.0;1.0;8.0;3.0;27.0;23.0;1.0;9.5
net.osmand.router;11.0;1.0;33.0;2.0;14.0;48.0;1.0;3.0
net.osmand.util;9.0;1.0;9.0;2.0;23.0;10.0;1.0;6.0
net.osmand.view;3.5;4.0;2.0;6.0;11.0;0.5;1.0;2.5
