pkg;class;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM
net.osmand;net.osmand.StringMatcher;1;1;1;0;1;0;0;1
net.osmand;net.osmand.StateChangedListener;1;1;1;0;1;0;0;1
net.osmand;net.osmand.CallbackWithObject;1;1;1;0;1;0;0;1
net.osmand;net.osmand.Node;1;1;1;0;2;0;0;0
net.osmand;net.osmand.NativeLibrary$RenderingGenerationResult;1;1;1;0;2;0;0;1
net.osmand;net.osmand.IndexConstants;1;1;1;0;2;0;0;1
net.osmand;net.osmand.ResultMatcher;2;1;1;0;2;1;0;2
net.osmand;net.osmand.Collator;2;1;1;0;2;1;0;2
net.osmand;net.osmand.NativeLibrary$NativeSearchResult;3;1;1;0;4;3;0;1
net.osmand;net.osmand.RenderingContext$ShadowRenderingMode;4;2;1;0;7;4;0;2
net.osmand;net.osmand.CollatorStringMatcher$StringMatcherMode;4;2;1;0;7;4;0;2
net.osmand;net.osmand.FloatMath;8;1;1;0;14;28;0;7
net.osmand;net.osmand.PlatformUtil$OsmandLogImplementation;19;1;1;0;20;171;0;19
net.osmand;net.osmand.Reshaper;2;1;1;1;3;1;1;2
net.osmand;net.osmand.NativeLibrary$NativeRouteSearchResult;3;1;1;2;4;3;1;2
net.osmand;net.osmand.NodeComparator;3;1;1;1;5;3;1;2
net.osmand;net.osmand.GeoidAltitudeCorrection;4;1;1;1;5;6;1;3
net.osmand;net.osmand.PlatformUtil;5;1;1;4;6;10;1;5
net.osmand;net.osmand.AndroidUtils$1;2;1;1;4;7;0;1;1
net.osmand;net.osmand.RenderingContext;5;1;1;3;8;0;1;4
net.osmand;net.osmand.TspAnt$Ant;6;1;1;1;9;0;1;4
net.osmand;net.osmand.IProgress;8;1;1;1;9;28;1;7
net.osmand;net.osmand.IProgress$1;8;1;1;1;9;28;1;7
net.osmand;net.osmand.CollatorStringMatcher;9;1;1;4;19;30;1;6
net.osmand;net.osmand.AndroidUtils;6;1;1;6;19;15;1;6
net.osmand;net.osmand.TspTest;2;1;1;3;23;1;1;2
net.osmand;net.osmand.NativeLibrary;22;1;1;14;23;231;1;11
net.osmand;net.osmand.TspHeldKarp;7;1;1;4;24;1;1;3
net.osmand;net.osmand.TspAnt;15;1;1;3;43;21;1;6
net.osmand;net.osmand.Location;33;1;1;1;50;186;1;32
net.osmand.access;net.osmand.access.AccessibleContent$Callback;1;1;1;1;1;0;1;1
net.osmand.access;net.osmand.access.AccessibilityActionsProvider;2;1;1;2;2;1;1;2
net.osmand.access;net.osmand.access.NavigationInfo$4;2;1;1;3;3;1;1;1
net.osmand.access;net.osmand.access.NavigationInfo$3;2;1;1;3;4;1;1;1
