pkg;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM
org.sipdroid.sipua.phone;4.0;1.0;27.0;4.0;7.0;4.0;1.0;2.0
org.sipdroid.sipua;2.0;1.0;14.0;1.5;4.5;0.0;1.0;1.0
org.sipdroid.net.impl;60.0;1.5;2.0;0.5;85.0;2326.0;0.5;34.0
com.jstun.core.header;1.0;2.0;5.0;0.0;2.0;0.0;0.0;1.0
org.sipdroid.media;6.0;1.0;9.0;2.0;19.0;8.0;1.0;5.0
org.zoolu.sip.transaction;6.0;2.0;11.0;9.0;26.0;0.0;1.0;5.0
org.zoolu.sip.call;15.0;1.0;6.0;7.0;35.5;6.5;1.0;14.5
org.sipdroid.codecs;7.0;2.0;15.0;2.0;12.0;21.0;1.0;5.0
org.sipdroid.net;7.5;1.0;4.0;2.0;24.0;0.0;1.0;7.0
org.zoolu.sip.authentication;17.0;1.0;1.0;6.0;53.0;78.0;1.0;8.0
org.zoolu.sdp;8.5;2.0;10.0;2.0;20.5;8.0;1.0;8.5
org.zoolu.net;12.0;1.0;11.0;2.0;28.0;1.0;1.0;9.0
com.jstun.core.util;7.0;1.0;3.0;1.0;14.0;0.0;1.0;7.0
org.zoolu.sip.message;12.0;2.0;9.0;8.0;27.0;66.0;1.0;10.0
com.jstun.core.attribute;3.0;2.0;19.0;4.0;11.0;1.0;1.0;2.0
org.sipdroid.sipua.ui;3.0;2.0;36.0;6.0;10.5;3.0;1.0;2.0
org.zoolu.sip.header;5.0;3.0;47.0;2.0;10.0;4.0;1.0;5.0
org.zoolu.sip.address;23.5;1.0;2.0;2.0;46.5;128.0;1.0;23.0
com.jstun.demo;6.0;1.0;3.0;2.0;33.0;0.0;1.0;2.0
org.zoolu.sip.dialog;18.0;1.5;10.0;10.5;43.5;111.5;1.0;16.0
org.zoolu.tools;6.0;1.0;25.0;1.0;15.0;4.0;1.0;4.0
org.zoolu.sip.provider;4.0;1.0;18.0;2.5;8.5;1.0;1.0;3.0
