pkg;class;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM
org.zoolu.sip.transaction;org.zoolu.sip.transaction.TransactionServer;10;2;1;13;35;0;1;7
org.sipdroid.sipua.ui;org.sipdroid.sipua.ui.Checkin;3;1;1;3;8;3;1;2
org.zoolu.sip.transaction;org.zoolu.sip.transaction.TransactionClientListener;4;1;1;2;4;6;1;4
org.zoolu.tools;org.zoolu.tools.MessageDigest;8;1;1;0;16;28;0;8
org.sipdroid.sipua.phone;org.sipdroid.sipua.phone.SlidingCardManager$WindowAttachNotifierView;4;2;1;3;5;6;1;2
org.sipdroid.sipua.ui;org.sipdroid.sipua.ui.VideoCamera$MainHandler;2;2;1;3;3;1;1;1
org.zoolu.sip.authentication;org.zoolu.sip.authentication.DigestAuthentication;17;1;1;6;53;78;1;8
org.sipdroid.sipua.ui;org.sipdroid.sipua.ui.VideoCameraNew2;2;1;1;1;3;1;1;1
org.sipdroid.sipua.ui;org.sipdroid.sipua.ui.VideoCameraNew_SDK9;2;1;1;1;3;1;1;1
org.sipdroid.sipua.ui;org.sipdroid.sipua.ui.ReceiverNew;2;1;1;0;3;1;0;1
org.zoolu.sip.provider;org.zoolu.sip.provider.DialogIdentifier;2;2;1;1;8;1;1;2
org.zoolu.sip.provider;org.zoolu.sip.provider.SipProviderListener;1;1;1;2;1;0;1;1
org.zoolu.tools;org.zoolu.tools.RotatingLog;6;2;1;1;25;9;1;3
org.zoolu.sip.header;org.zoolu.sip.header.Header;9;1;1;0;15;0;0;8
org.sipdroid.sipua.ui;org.sipdroid.sipua.ui.Receiver;30;2;1;15;31;435;1;17
com.jstun.demo;com.jstun.demo.DiscoveryTest;6;1;1;15;51;0;1;2
org.sipdroid.codecs;org.sipdroid.codecs.G711;10;1;1;0;11;23;0;7
org.zoolu.sip.header;org.zoolu.sip.header.MaxForwardsHeader;6;2;1;2;11;9;1;6
org.sipdroid.sipua.ui;org.sipdroid.sipua.ui.OneShotAlarm;2;2;1;5;5;1;1;2
org.zoolu.sip.header;org.zoolu.sip.header.ViaHeader;26;3;1;5;53;323;1;26
org.zoolu.sip.header;org.zoolu.sip.header.UnsupportedHeader;2;3;1;2;4;1;1;2
org.zoolu.sip.dialog;org.zoolu.sip.dialog.SubscriberDialogListener;5;1;1;3;5;10;1;5
org.zoolu.sip.message;org.zoolu.sip.message.BaseSipResponses;4;1;1;0;5;0;0;2
com.jstun.core.attribute;com.jstun.core.attribute.SourceAddress;3;3;1;4;11;1;1;2
com.jstun.demo;com.jstun.demo.DiscoveryInfo;21;1;1;0;33;48;0;21
org.sipdroid.codecs;org.sipdroid.codecs.ulaw;5;2;1;3;10;10;1;4
org.zoolu.sip.header;org.zoolu.sip.header.AllowHeader;5;3;1;2;10;10;1;5
org.zoolu.tools;org.zoolu.tools.InnerTimerListener;1;1;1;0;1;0;0;1
org.zoolu.net;org.zoolu.net.TcpServer;10;2;1;3;23;27;1;8
org.zoolu.sip.header;org.zoolu.sip.header.ServerHeader;4;2;1;1;6;4;1;4
org.sipdroid.sipua.phone;org.sipdroid.sipua.phone.CallerInfo;4;1;1;7;17;6;1;3
org.zoolu.net;org.zoolu.net.TcpServerListener;2;1;1;2;2;1;1;2
com.jstun.core.attribute;com.jstun.core.attribute.ErrorCode;6;2;1;6;17;5;1;6
org.sipdroid.sipua.ui;org.sipdroid.sipua.ui.AutoAnswer;5;5;1;8;25;4;1;1
org.sipdroid.sipua.ui;org.sipdroid.sipua.ui.LoopLocation;2;2;1;4;4;1;1;2
org.zoolu.sip.header;org.zoolu.sip.header.ProxyAuthenticateHeader;3;4;1;2;6;1;1;3
com.jstun.core.attribute;com.jstun.core.attribute.Dummy;4;2;1;4;8;4;1;4
org.sipdroid.codecs;org.sipdroid.codecs.G722;7;2;1;2;12;21;1;5
org.sipdroid.sipua.phone;org.sipdroid.sipua.phone.Phone$SuppService;4;2;1;0;7;4;0;2
com.jstun.core.header;com.jstun.core.header.MessageHeaderInterface;0;1;1;0;0;0;0;0
org.zoolu.sip.header;org.zoolu.sip.header.ToHeader;5;5;1;4;10;10;1;5
