pkg;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM
com.menny.android.anysoftkeyboard;2.0;2.5;6.0;1.0;3.0;0.0;1.0;1.0
com.anysoftkeyboard.voice;3.0;1.0;23.0;3.0;4.0;1.0;1.0;2.0
com.anysoftkeyboard.quicktextkeys;7.0;2.0;2.0;4.0;11.5;15.5;1.0;6.0
com.anysoftkeyboard.ui.settings.widget;3.0;2.0;5.0;6.0;4.0;3.0;1.0;3.0
com.anysoftkeyboard.keyboardextensions;4.0;2.0;2.0;3.5;5.0;5.0;1.0;2.5
com.anysoftkeyboard.keyboards;6.0;1.0;30.0;3.0;7.0;8.5;1.0;3.5
com.anysoftkeyboard.theme;6.0;2.0;2.0;4.5;7.0;15.0;1.0;4.5
com.anysoftkeyboard.backup;2.0;1.0;4.0;1.0;3.0;0.5;1.0;2.0
com.anysoftkeyboard.utils;7.0;1.0;13.0;1.0;13.0;10.0;1.0;6.0
com.anysoftkeyboard;9.0;1.0;10.0;2.5;10.5;44.0;1.0;4.0
com.anysoftkeyboard.ui.settings.wordseditor;4.5;2.5;10.0;3.5;5.5;6.0;1.0;2.5
com.anysoftkeyboard.ui.settings;4.0;2.0;18.0;4.0;5.0;6.0;1.0;3.0
com.anysoftkeyboard.ui.dev;7.5;1.0;4.0;4.5;8.5;30.5;1.0;4.5
com.anysoftkeyboard.ui.tutorials;4.5;1.5;10.0;3.5;5.5;8.0;1.0;3.5
com.anysoftkeyboard.spellcheck;3.5;1.5;4.0;5.0;14.5;3.5;1.0;2.0
com.anysoftkeyboard.dictionaries;5.0;1.0;21.0;3.0;9.0;1.0;1.0;2.0
com.anysoftkeyboard.ui;5.0;1.0;2.0;3.0;6.0;10.5;1.0;4.0
com.anysoftkeyboard.receivers;3.0;2.0;3.0;5.0;6.0;1.0;1.0;3.0
com.anysoftkeyboard.devicespecific;3.0;1.0;17.0;4.0;6.0;1.0;1.0;2.0
com.anysoftkeyboard.dictionaries.sqlite;5.0;4.0;7.0;5.0;9.0;4.0;1.0;2.0
com.anysoftkeyboard.dictionaries.content;8.0;4.0;3.0;9.0;19.0;10.0;1.0;2.0
com.anysoftkeyboard.keyboards.views;12.0;1.0;19.0;3.0;14.0;56.0;1.0;7.0
com.anysoftkeyboard.dictionaries.jni;10.0;2.0;3.0;5.0;36.0;29.0;1.0;3.0
com.anysoftkeyboard.keyboards.physical;19.5;1.0;2.0;4.5;25.5;179.0;1.0;13.5
com.anysoftkeyboard.ui.settings.setup;5.0;2.0;7.0;5.0;7.0;10.0;1.0;4.0
com.anysoftkeyboard.addons;5.5;1.0;6.0;1.5;8.0;12.5;1.0;3.0
