pkg;class;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM
com.anysoftkeyboard.utils;com.anysoftkeyboard.utils.ArraysCompatUtils;4;1;1;1;13;4;1;2
com.anysoftkeyboard.keyboards;com.anysoftkeyboard.keyboards.AnyKeyboard$HardKeyboardAction;5;1;1;0;6;10;0;4
com.anysoftkeyboard;com.anysoftkeyboard.WordComposer;22;1;1;0;23;231;0;20
com.anysoftkeyboard.keyboards;com.anysoftkeyboard.keyboards.KeyEventStateMachine$KeyEventTransition;3;1;1;1;4;0;1;0
com.anysoftkeyboard.dictionaries.content;com.anysoftkeyboard.dictionaries.content.ContactsDictionary;8;4;1;9;19;26;1;2
com.anysoftkeyboard.ui.settings;com.anysoftkeyboard.ui.settings.EffectsSettingsFragment;3;2;1;2;4;3;1;3
com.menny.android.anysoftkeyboard;com.menny.android.anysoftkeyboard.BuildConfig;1;1;1;0;2;0;0;1
com.anysoftkeyboard.voice;com.anysoftkeyboard.voice.VoiceRecognitionTrigger;6;1;1;8;17;0;1;4
com.anysoftkeyboard.ui.dev;com.anysoftkeyboard.ui.dev.DeveloperUtils;11;1;1;3;12;55;1;11
com.anysoftkeyboard.devicespecific;com.anysoftkeyboard.devicespecific.DeviceSpecific_V19;3;5;1;5;5;3;1;3
com.anysoftkeyboard.dictionaries;com.anysoftkeyboard.dictionaries.DictionaryFactory;5;1;1;12;24;6;1;4
com.anysoftkeyboard.dictionaries.sqlite;com.anysoftkeyboard.dictionaries.sqlite.FallbackUserDictionary;2;5;1;3;4;1;1;1
com.anysoftkeyboard.ui.settings;com.anysoftkeyboard.ui.settings.AboutAnySoftKeyboardFragment$AdditionalSoftwareLicensesFragment;3;1;1;4;4;3;1;3
com.anysoftkeyboard.utils;com.anysoftkeyboard.utils.IMEUtil$RingCharBuffer;11;1;1;1;12;55;1;9
com.anysoftkeyboard.dictionaries;com.anysoftkeyboard.dictionaries.DictionaryAddOnAndBuilder;8;2;1;10;24;16;1;7
com.anysoftkeyboard.devicespecific;com.anysoftkeyboard.devicespecific.DeviceSpecific_V11;4;4;1;5;13;6;1;4
com.anysoftkeyboard.dictionaries;com.anysoftkeyboard.dictionaries.DictionaryASyncLoader$Listener;2;1;1;1;2;1;1;2
com.anysoftkeyboard.ui.settings.wordseditor;com.anysoftkeyboard.ui.settings.wordseditor.AbbreviationDictionaryEditorFragment;4;2;1;3;5;6;1;2
com.anysoftkeyboard.utils;com.anysoftkeyboard.utils.IMEUtil;7;1;1;2;8;21;1;6
com.anysoftkeyboard.ui.settings.setup;com.anysoftkeyboard.ui.settings.setup.WizardPagesAdapter;4;1;1;2;5;6;1;4
com.anysoftkeyboard.keyboards.views;com.anysoftkeyboard.keyboards.views.AskGestureEventsListener;11;1;1;5;34;35;1;9
com.anysoftkeyboard.voice;com.anysoftkeyboard.voice.ServiceBridge$1;2;1;1;6;6;0;1;1
com.anysoftkeyboard.ui.settings;com.anysoftkeyboard.ui.settings.UiTweaksFragment;4;2;1;4;5;6;1;4
com.anysoftkeyboard.keyboards.views;com.anysoftkeyboard.keyboards.views.CandidateView;16;2;1;11;17;120;1;13
com.anysoftkeyboard.addons;com.anysoftkeyboard.addons.AddOn;7;1;1;1;8;21;1;6
com.anysoftkeyboard.ui.settings.setup;com.anysoftkeyboard.ui.settings.setup.WizardPageBaseFragment;5;1;1;0;6;10;0;3
com.anysoftkeyboard.ui.tutorials;com.anysoftkeyboard.ui.tutorials.TipsFragment$RandomTipFragment;4;2;1;3;5;6;1;2
com.anysoftkeyboard.voice;com.anysoftkeyboard.voice.ImeTrigger;7;1;1;11;29;19;1;4
com.anysoftkeyboard.devicespecific;com.anysoftkeyboard.devicespecific.ClipboardV3;3;1;1;4;9;0;1;2
com.anysoftkeyboard.ui.settings;com.anysoftkeyboard.ui.settings.MainFragment;6;1;1;6;7;15;1;6
com.anysoftkeyboard.quicktextkeys;com.anysoftkeyboard.quicktextkeys.QuickTextKeyFactory;4;2;1;4;5;6;1;2
com.anysoftkeyboard.ui.settings.wordseditor;com.anysoftkeyboard.ui.settings.wordseditor.UserWordsListAdapter$AdapterCallbacks;4;1;1;1;5;6;1;3
com.anysoftkeyboard.keyboards;com.anysoftkeyboard.keyboards.AnyPopupKeyboard;16;3;1;3;17;120;1;11
com.anysoftkeyboard.utils;com.anysoftkeyboard.utils.IMEUtil$GCUtils$MemRelatedOperation;2;1;1;0;3;1;0;1
com.anysoftkeyboard.dictionaries;com.anysoftkeyboard.dictionaries.Suggest;17;1;1;7;18;136;1;14
com.anysoftkeyboard.dictionaries.sqlite;com.anysoftkeyboard.dictionaries.sqlite.SQLiteUserDictionaryBase;8;4;1;8;23;10;1;2
com.anysoftkeyboard.keyboards;com.anysoftkeyboard.keyboards.KeyEventStateMachine$State;4;2;1;0;7;4;0;2
com.anysoftkeyboard.dictionaries;com.anysoftkeyboard.dictionaries.Dictionary$WordCallback;1;1;1;1;1;0;1;1
com.anysoftkeyboard.voice;com.anysoftkeyboard.voice.VoiceInput;3;1;1;0;4;3;0;2
com.anysoftkeyboard.dictionaries;com.anysoftkeyboard.dictionaries.DictionaryContentObserver;2;2;1;2;3;1;1;2
com.anysoftkeyboard;com.anysoftkeyboard.AnySoftKeyboard;115;6;1;41;116;6555;1;54
com.anysoftkeyboard.dictionaries.sqlite;com.anysoftkeyboard.dictionaries.sqlite.AbbreviationsDictionary;8;5;1;5;9;28;1;4
com.anysoftkeyboard.dictionaries;com.anysoftkeyboard.dictionaries.BTreeDictionary;23;3;1;14;56;215;1;7
com.anysoftkeyboard.dictionaries;com.anysoftkeyboard.dictionaries.DictionaryContentObserverAPI16;2;3;1;3;4;1;1;2
com.anysoftkeyboard.utils;com.anysoftkeyboard.utils.PointFCompat;7;1;1;6;13;9;1;6
com.anysoftkeyboard.addons;com.anysoftkeyboard.addons.AddOnsFactory$AddOnsComparator;4;1;1;2;10;4;1;2
com.anysoftkeyboard.dictionaries;com.anysoftkeyboard.dictionaries.DictionaryASyncLoader;5;2;1;4;15;4;1;1
com.anysoftkeyboard.voice;com.anysoftkeyboard.voice.ServiceHelper;4;4;1;6;11;2;1;4
com.anysoftkeyboard.keyboards.views;com.anysoftkeyboard.keyboards.views.KeyDrawableStateProvider;1;1;1;0;2;0;0;1
com.anysoftkeyboard.dictionaries;com.anysoftkeyboard.dictionaries.WordsCursor;6;1;1;1;11;0;1;6
com.anysoftkeyboard.keyboards;com.anysoftkeyboard.keyboards.AnyKeyboard;38;2;1;13;39;703;1;23
com.anysoftkeyboard.ui;com.anysoftkeyboard.ui.SendBugReportUiActivity;6;1;1;3;7;15;1;4
com.anysoftkeyboard.keyboards;com.anysoftkeyboard.keyboards.KeyEventStateMachine;9;1;1;4;27;20;1;7
com.anysoftkeyboard.utils;com.anysoftkeyboard.utils.CompatUtils;9;1;1;2;25;36;1;9
com.anysoftkeyboard.keyboardextensions;com.anysoftkeyboard.keyboardextensions.KeyboardExtension;3;2;1;2;4;0;1;3
com.anysoftkeyboard.addons;com.anysoftkeyboard.addons.AddOnImpl;7;1;1;2;8;21;1;6
com.anysoftkeyboard;com.anysoftkeyboard.Configuration;57;1;1;2;57;1596;1;57
com.anysoftkeyboard.dictionaries;com.anysoftkeyboard.dictionaries.EditableDictionary;4;2;1;2;5;6;1;3
com.menny.android.anysoftkeyboard;com.menny.android.anysoftkeyboard.AnyApplication;7;4;1;7;8;21;1;7
com.anysoftkeyboard.dictionaries;com.anysoftkeyboard.dictionaries.BTreeDictionary$NodeArray;5;1;1;1;9;2;1;1
com.anysoftkeyboard.voice;com.anysoftkeyboard.voice.IntentApiTrigger$1;2;1;1;2;4;0;1;1
com.anysoftkeyboard.keyboards.views;com.anysoftkeyboard.keyboards.views.AnyKeyboardBaseView$KeyboardDrawOperation;3;1;1;3;4;3;1;3
com.anysoftkeyboard.voice;com.anysoftkeyboard.voice.IntentApiTrigger$2;2;1;1;1;4;0;1;1
com.anysoftkeyboard.utils;com.anysoftkeyboard.utils.IMEUtil$GCUtils;5;1;1;1;6;10;1;3
com.anysoftkeyboard.dictionaries.content;com.anysoftkeyboard.dictionaries.content.AndroidUserDictionary;8;4;1;11;28;10;1;3
com.anysoftkeyboard.addons;com.anysoftkeyboard.addons.IconHolder;2;1;1;1;3;1;1;1
com.anysoftkeyboard.keyboards;com.anysoftkeyboard.keyboards.GenericKeyboard;3;4;1;3;5;0;1;3
com.anysoftkeyboard.voice;com.anysoftkeyboard.voice.ServiceBridge$ConnectionRequest;6;1;1;7;9;11;1;2
com.anysoftkeyboard.keyboards;com.anysoftkeyboard.keyboards.AnyKeyboard$EnterKey;4;3;1;6;5;6;1;4
com.anysoftkeyboard.ui.tutorials;com.anysoftkeyboard.ui.tutorials.ChangeLogFragment;10;2;1;7;11;45;1;6
com.anysoftkeyboard.keyboards.views;com.anysoftkeyboard.keyboards.views.CandidateView$CandidateStripGestureListener;3;2;1;3;4;3;1;3
com.anysoftkeyboard.keyboards;com.anysoftkeyboard.keyboards.KeyboardFactory;4;2;1;4;5;6;1;2
com.anysoftkeyboard.keyboards;com.anysoftkeyboard.keyboards.CondenseType;2;2;1;0;3;1;0;1
com.anysoftkeyboard.ui.tutorials;com.anysoftkeyboard.ui.tutorials.TipLayoutsSupport;4;1;1;5;5;6;1;4
com.anysoftkeyboard.voice;com.anysoftkeyboard.voice.IntentApiTrigger;11;1;1;21;54;31;1;4
com.anysoftkeyboard.dictionaries.jni;com.anysoftkeyboard.dictionaries.jni.BinaryDictionary;10;2;1;5;36;29;1;3
com.anysoftkeyboard.spellcheck;com.anysoftkeyboard.spellcheck.AnySpellCheckerService$AnySpellCheckerSession;4;2;1;6;18;6;1;2
com.anysoftkeyboard.keyboards;com.anysoftkeyboard.keyboards.AnyKeyboard$KeyboardMetadata;1;1;1;0;2;0;0;0
com.anysoftkeyboard.keyboards.views;com.anysoftkeyboard.keyboards.views.PointerTracker;34;1;1;11;78;283;1;22
com.anysoftkeyboard.ui.settings;com.anysoftkeyboard.ui.settings.KeyboardThemeTweaksFragment;2;2;1;2;3;1;1;2
com.anysoftkeyboard.theme;com.anysoftkeyboard.theme.KeyboardThemeFactory;6;2;1;5;7;15;1;3
com.anysoftkeyboard.devicespecific;com.anysoftkeyboard.devicespecific.StrictModeImpl;2;1;1;6;14;1;1;2
com.anysoftkeyboard.ui.settings.wordseditor;com.anysoftkeyboard.ui.settings.wordseditor.UserDictionaryEditorFragment;20;1;1;18;21;190;1;12
com.anysoftkeyboard.devicespecific;com.anysoftkeyboard.devicespecific.AskV19GestureDetector;1;3;1;4;3;0;1;1
com.anysoftkeyboard.receivers;com.anysoftkeyboard.receivers.PackagesChangedReceiver;3;2;1;8;16;1;1;3
com.anysoftkeyboard.ui.settings.setup;com.anysoftkeyboard.ui.settings.setup.SetupSupport;5;1;1;5;14;10;1;5
com.anysoftkeyboard.devicespecific;com.anysoftkeyboard.devicespecific.ClipboardV11;3;1;1;6;12;0;1;2
com.anysoftkeyboard;com.anysoftkeyboard.AnyKeyboardContextProvider;1;1;1;1;1;0;1;1
com.anysoftkeyboard.ui.settings;com.anysoftkeyboard.ui.settings.LanguageTweaksFragment;3;2;1;2;4;3;1;3
com.anysoftkeyboard.ui.tutorials;com.anysoftkeyboard.ui.tutorials.TestersNoticeActivity;3;5;1;3;4;3;1;2
com.anysoftkeyboard.receivers;com.anysoftkeyboard.receivers.SoundPreferencesChangedReceiver;3;2;1;5;6;1;1;3
com.anysoftkeyboard.ui.settings;com.anysoftkeyboard.ui.settings.GesturesSettingsFragment;3;2;1;2;4;3;1;3
com.anysoftkeyboard.keyboards.views;com.anysoftkeyboard.keyboards.views.OnKeyboardActionListener;13;1;1;1;13;78;1;13
com.anysoftkeyboard.ui.settings;com.anysoftkeyboard.ui.settings.MainSettingsActivity;22;2;1;9;23;231;1;15
com.anysoftkeyboard.keyboards;com.anysoftkeyboard.keyboards.KeyboardCondenser$KeySize;1;1;1;0;2;0;0;1
com.anysoftkeyboard.dictionaries.sqlite;com.anysoftkeyboard.dictionaries.sqlite.WordsSQLiteConnection$Words;1;1;1;0;2;0;0;1
com.anysoftkeyboard.ui.settings.wordseditor;com.anysoftkeyboard.ui.settings.wordseditor.UserWordsListAdapter;16;3;1;13;17;120;1;9
com.anysoftkeyboard.ui.dev;com.anysoftkeyboard.ui.dev.DeveloperToolsFragment;13;1;1;7;14;78;1;5
com.anysoftkeyboard.ui.settings;com.anysoftkeyboard.ui.settings.DictionariesFragment;4;2;1;4;5;6;1;4
com.anysoftkeyboard.voice;com.anysoftkeyboard.voice.ServiceHelper$Callback;1;1;1;0;1;0;0;1
com.anysoftkeyboard.voice;com.anysoftkeyboard.voice.VoiceInputEmptyImpl;3;1;1;3;4;3;1;3
com.anysoftkeyboard.keyboards.views;com.anysoftkeyboard.keyboards.views.MiniKeyboardKeyDetector;3;2;1;2;8;1;1;2
com.anysoftkeyboard.dictionaries;com.anysoftkeyboard.dictionaries.Dictionary;12;1;1;2;15;44;1;7
com.anysoftkeyboard.dictionaries.sqlite;com.anysoftkeyboard.dictionaries.sqlite.AutoDictionary;5;5;1;9;35;10;1;4
com.anysoftkeyboard.devicespecific;com.anysoftkeyboard.devicespecific.MultiTouchSupportLevel;4;2;1;0;7;4;0;2
com.anysoftkeyboard.devicespecific;com.anysoftkeyboard.devicespecific.DeviceSpecific;6;1;1;8;6;15;1;6
com.anysoftkeyboard.voice;com.anysoftkeyboard.voice.VoiceInputNotInstalledActivity;3;5;1;4;4;3;1;2
com.anysoftkeyboard.dictionaries;com.anysoftkeyboard.dictionaries.WordsCursor$SqliteWordsCursor;2;2;1;3;6;0;1;2
com.anysoftkeyboard.utils;com.anysoftkeyboard.utils.Workarounds;6;1;1;3;14;9;1;5
com.menny.android.anysoftkeyboard;com.menny.android.anysoftkeyboard.FeaturesSet;1;1;1;0;2;0;0;1
com.anysoftkeyboard.ui.dev;com.anysoftkeyboard.ui.dev.DeveloperToolsFragment$DeveloperAsyncTask;1;3;1;2;2;0;1;1
com.anysoftkeyboard.keyboards;com.anysoftkeyboard.keyboards.Keyboard$Row;2;1;1;4;3;1;1;2
com.anysoftkeyboard.devicespecific;com.anysoftkeyboard.devicespecific.DeviceSpecific_V3;7;1;1;11;12;21;1;7
com.anysoftkeyboard.utils;com.anysoftkeyboard.utils.PointFCompat$1;5;1;1;3;5;10;1;4
com.anysoftkeyboard.devicespecific;com.anysoftkeyboard.devicespecific.DeviceSpecific_V8;5;3;1;8;10;10;1;5
com.anysoftkeyboard.devicespecific;com.anysoftkeyboard.devicespecific.DeviceSpecific_V7;3;2;1;4;6;3;1;3
com.anysoftkeyboard.voice;com.anysoftkeyboard.voice.VoiceRecognitionTriggerV11;3;2;1;6;8;1;1;1
com.anysoftkeyboard.utils;com.anysoftkeyboard.utils.XmlUtils;25;1;1;4;83;300;1;24
com.anysoftkeyboard.keyboards.physical;com.anysoftkeyboard.keyboards.physical.HardKeyboardActionImpl;7;1;1;3;10;0;1;7
com.anysoftkeyboard.spellcheck;com.anysoftkeyboard.spellcheck.SuggestionsGatherer$Result;1;1;1;0;2;0;0;1
com.anysoftkeyboard.ui.settings.widget;com.anysoftkeyboard.ui.settings.widget.AddOnListPreference$AddOnArrayAdapter;3;3;1;7;4;3;1;3
com.anysoftkeyboard.keyboards.views;com.anysoftkeyboard.keyboards.views.PointerTracker$KeyState;14;1;1;1;16;69;1;13
com.anysoftkeyboard.keyboards;com.anysoftkeyboard.keyboards.KeyboardSwitcher;28;1;1;8;29;378;1;17
com.anysoftkeyboard;com.anysoftkeyboard.ConfigurationImpl;67;1;1;5;68;2211;1;59
com.anysoftkeyboard.ui.settings.wordseditor;com.anysoftkeyboard.ui.settings.wordseditor.DictionaryLocale;5;1;1;0;9;0;0;5
com.anysoftkeyboard.voice;com.anysoftkeyboard.voice.ServiceBridge;5;1;1;8;12;8;1;4
com.anysoftkeyboard.dictionaries;com.anysoftkeyboard.dictionaries.ExternalDictionaryFactory;8;2;1;4;9;28;1;4
com.anysoftkeyboard.dictionaries;com.anysoftkeyboard.dictionaries.AutoText;4;1;1;5;25;0;1;1
com.anysoftkeyboard;com.anysoftkeyboard.LayoutSwitchAnimationListener$AnimationType;1;2;1;0;2;0;0;0
com.anysoftkeyboard.voice;com.anysoftkeyboard.voice.ActivityHelper;6;5;1;14;35;13;1;1
com.anysoftkeyboard.utils;com.anysoftkeyboard.utils.XmlWriter;12;1;1;0;35;20;0;10
com.anysoftkeyboard.voice;com.anysoftkeyboard.voice.ServiceBridge$ConnectionResponse;4;1;1;7;8;4;1;2
com.anysoftkeyboard.voice;com.anysoftkeyboard.voice.VoiceInput$VoiceInputDiagram;2;1;1;1;3;1;1;2
com.anysoftkeyboard.dictionaries.sqlite;com.anysoftkeyboard.dictionaries.sqlite.AutoDictionary$AdditionType;4;2;1;0;7;4;0;2
com.anysoftkeyboard.keyboards;com.anysoftkeyboard.keyboards.DefaultDictionarySelector;2;1;1;1;3;0;1;2
com.anysoftkeyboard.ui.settings.wordseditor;com.anysoftkeyboard.ui.settings.wordseditor.AbbreviationDictionaryEditorFragment$AbbreviationWordsListAdapter;7;4;1;8;8;21;1;1
com.anysoftkeyboard.devicespecific;com.anysoftkeyboard.devicespecific.AskV8GestureDetector;2;2;1;5;3;1;1;2
com.anysoftkeyboard.devicespecific;com.anysoftkeyboard.devicespecific.Clipboard;3;1;1;0;4;3;0;2
com.anysoftkeyboard;com.anysoftkeyboard.KeyboardUIStateHanlder$CloseTextAnimationListener;5;1;1;3;6;10;1;4
com.anysoftkeyboard.backup;com.anysoftkeyboard.backup.CloudBackupRequesterApi8;2;1;1;4;6;0;1;2
com.anysoftkeyboard.dictionaries.content;com.anysoftkeyboard.dictionaries.content.ContactsDictionary$ContactsWordsCursor;2;2;1;2;7;1;1;2
com.anysoftkeyboard.devicespecific;com.anysoftkeyboard.devicespecific.AskOnGestureListener;2;1;1;1;2;1;1;2
com.anysoftkeyboard.dictionaries.jni;com.anysoftkeyboard.dictionaries.jni.ResourceBinaryDictionary$1;2;1;1;3;10;0;1;1
com.anysoftkeyboard.keyboards;com.anysoftkeyboard.keyboards.KeyEventStateMachine$NFAPart;10;1;1;3;15;23;1;0
com.anysoftkeyboard.ui.settings;com.anysoftkeyboard.ui.settings.TopRowSelectorFragment;5;3;1;2;6;10;1;1
com.anysoftkeyboard.ui;com.anysoftkeyboard.ui.SendBugReportUiActivity$BugReportDetails;4;1;1;3;5;6;1;4
com.anysoftkeyboard.keyboards.views;com.anysoftkeyboard.keyboards.views.KeyboardDimensFromTheme;15;1;1;1;16;87;1;7
com.anysoftkeyboard.ui.tutorials;com.anysoftkeyboard.ui.tutorials.IntentToLaunch;1;1;1;1;2;0;1;1
com.anysoftkeyboard.voice;com.anysoftkeyboard.voice.Trigger;2;1;1;0;2;1;0;2
com.anysoftkeyboard.ui.settings.setup;com.anysoftkeyboard.ui.settings.setup.WizardPageSwitchToKeyboardFragment;5;2;1;5;6;10;1;3
com.anysoftkeyboard.keyboards.views;com.anysoftkeyboard.keyboards.views.AnyKeyboardView;26;3;1;18;27;325;1;14
com.anysoftkeyboard.ui.settings;com.anysoftkeyboard.ui.settings.SpellCheckerSettingsActivity;2;7;1;2;3;1;1;1
