pkg;class;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM
com.google.zxing.client.android;com.google.zxing.client.android.Intents;1;1;1;0;2;0;0;0
com.google.zxing.client.android.share;com.google.zxing.client.android.share.AppInfo;8;1;1;1;12;4;1;5
com.google.zxing.client.android;com.google.zxing.client.android.PreferencesActivity;2;5;1;6;9;1;1;1
com.google.zxing.client.android.camera;com.google.zxing.client.android.camera.PreviewCallback;4;1;1;7;10;0;1;1
com.google.zxing.client.android;com.google.zxing.client.android.R$attr;1;1;1;0;2;0;0;1
com.google.zxing.client.android.encode;com.google.zxing.client.android.encode.VCardContactEncoder;6;2;1;4;28;15;1;1
com.google.zxing.client.android.book;com.google.zxing.client.android.book.BrowseBookListener;2;1;1;9;20;0;1;1
com.google.zxing.client.android.history;com.google.zxing.client.android.history.HistoryManager;15;1;1;19;80;0;1;8
com.google.zxing.client.android.book;com.google.zxing.client.android.book.SearchBookContentsActivity;18;5;1;21;60;109;1;2
com.google.zxing.client.android.result;com.google.zxing.client.android.result.ResultHandlerFactory;4;1;1;18;20;6;1;1
com.google.zxing.client.android.result.supplement;com.google.zxing.client.android.result.supplement.TitleRetriever;3;3;1;6;19;0;1;0
com.google.zxing.client.android.camera.open;com.google.zxing.client.android.camera.open.OpenCameraInterface;4;1;1;3;15;4;1;2
com.google.zxing.client.android;com.google.zxing.client.android.FinishListener;4;1;1;4;6;4;1;3
com.google.zxing.client.android.book;com.google.zxing.client.android.book.SearchBookContentsAdapter;2;3;1;7;8;1;1;1
com.google.zxing.client.android;com.google.zxing.client.android.AmbientLightManager;5;1;1;9;13;0;1;2
com.google.zxing.client.android.camera;com.google.zxing.client.android.camera.AutoFocusManager$AutoFocusTask;3;2;1;2;6;1;1;0
com.google.zxing.client.android.result;com.google.zxing.client.android.result.CalendarResultHandler;9;2;1;7;45;28;1;6
com.google.zxing.client.android.result.supplement;com.google.zxing.client.android.result.supplement.URIResultInfoRetriever;2;3;1;6;16;0;1;0
com.google.zxing.client.android;com.google.zxing.client.android.Intents$History;1;1;1;0;2;0;0;0
com.google.zxing.client.android.encode;com.google.zxing.client.android.encode.MECARDContactEncoder$MECARDFieldFormatter;4;1;1;1;12;4;1;1
com.google.zxing.client.android.share;com.google.zxing.client.android.share.ShareActivity$1;2;1;1;6;6;0;1;1
com.google.zxing.client.android.share;com.google.zxing.client.android.share.ShareActivity$2;2;1;1;5;8;0;1;1
com.google.zxing.client.android.share;com.google.zxing.client.android.share.ShareActivity$3;2;1;1;5;8;0;1;1
com.google.zxing.client.android.share;com.google.zxing.client.android.share.ShareActivity$4;2;1;1;5;6;0;1;1
com.google.zxing.client.android.camera;com.google.zxing.client.android.camera.CameraManager;15;1;1;14;53;5;1;13
com.google.zxing.client.android;com.google.zxing.client.android.ViewfinderView;7;2;1;10;36;5;1;6
com.google.zxing.client.android;com.google.zxing.client.android.InactivityTimer$PowerStatusReceiver;3;2;1;4;9;1;1;1
com.google.zxing.client.android;com.google.zxing.client.android.PreferencesFragment;5;3;1;10;20;8;1;3
com.google.zxing.client.android.share;com.google.zxing.client.android.share.BookmarkAdapter;5;2;1;8;14;4;1;4
com.google.zxing.client.android;com.google.zxing.client.android.DecodeThread;3;2;1;11;22;0;1;1
com.google.zxing.client.android;com.google.zxing.client.android.Intents$WifiConnect;1;1;1;0;2;0;0;0
com.google.zxing.client.android.share;com.google.zxing.client.android.share.ShareActivity$5;2;1;1;5;8;0;1;1
com.google.zxing.client.android;com.google.zxing.client.android.BeepManager;9;1;1;12;36;14;1;3
com.google.zxing.client.android.encode;com.google.zxing.client.android.encode.EncodeActivity;9;5;1;26;80;18;1;4
com.google.zxing.client.android.result;com.google.zxing.client.android.result.URIResultHandler;8;2;1;5;19;20;1;7
com.google.zxing.client.android.book;com.google.zxing.client.android.book.SearchBookContentsActivity$NetworkTask;8;2;1;20;59;16;1;0
com.google.zxing.client.android;com.google.zxing.client.android.Intents$Share;1;1;1;0;2;0;0;0
com.google.zxing.client.android.encode;com.google.zxing.client.android.encode.VCardTelDisplayFormatter;4;1;1;2;21;4;1;1
com.google.zxing.client.android;com.google.zxing.client.android.HttpHelper$ContentType;4;2;1;0;7;4;0;2
com.google.zxing.client.android.history;com.google.zxing.client.android.history.HistoryActivity;11;6;1;28;72;13;1;5
