pkg;WMC;DIT;NOC;CBO;RFC;LCOM;Ca;NPM
com.google.zxing.client.android;2.0;1.0;47.0;0.0;4.0;0.0;0.0;1.0
com.google.zxing.client.android.encode;4.0;1.0;11.0;2.0;17.0;4.0;1.0;1.0
com.google.zxing.client.android.result;7.0;2.0;15.0;5.0;19.0;15.0;1.0;5.0
com.google.zxing.client.android.history;3.0;1.5;6.0;7.0;12.0;0.0;1.0;2.0
com.google.zxing.client.android.wifi;9.0;2.0;2.0;3.0;30.5;37.0;0.5;1.5
com.google.zxing.client.android.book;3.0;1.5;8.0;8.0;14.5;2.5;1.0;1.0
com.google.zxing.client.android.clipboard;6.0;1.0;1.0;5.0;16.0;13.0;1.0;3.0
com.google.zxing.client.android.share;3.0;1.5;12.0;7.0;10.0;1.0;1.0;1.0
com.google.zxing.client.android.camera;6.5;1.0;6.0;8.5;19.5;3.0;1.0;1.0
com.google.zxing.client.android.camera.open;4.0;1.0;1.0;3.0;15.0;4.0;1.0;2.0
com.google.zxing.client.android.result.supplement;3.0;3.0;5.0;9.0;19.0;0.0;1.0;0.0
